Object ID,Organization Name,Approved On Street,Borough Name,Approved From Street,Approved To Street,apprDaysWe,Status Type,Approved Monday Open,Approved Monday Close,Approved Tuesday Open,Approved Tuesday Close,Approved Wednesday Open,Approved Wednesday Close,Approved Thursday Open,Approved Thursday Close,Approved Friday Open,Approved Friday Close,Approved Saturday Open,Approved Saturday Close,Approved Sunday Open,apprStartD,Approved Sunday Close,apprEndDat,Shape_STLe,the Geom,segmentidt,segmentidf,lionversion
1,New Dorp Lane Management Association,9 STREET,Staten Island,NEW DORP LANE,ROSE AVENUE,"fri,sat,sun",approvedFull,,,,,,,,,19:00,23:00,18:00,23:00,18:00,01/31/2023,23:00,12/31/2023,448.103939286,"MULTILINESTRING ((952355.5207981318 148114.65657655895, 952090.2526278943 147753.50572405756))",0010673,0010673,22A
2,Hometown Bar B Que,REED STREET,Brooklyn,VAN BRUNT STREET,CONOVER STREET,"tue,wed,thu,fri,sat,sun",approvedFull,,,12:00,22:00,12:00,22:00,12:00,22:00,12:00,23:00,12:00,23:00,12:00,12/08/2022,22:00,12/06/2023,454.115102858,"MULTILINESTRING ((979801.7480577976 185080.70994089544, 979461.5220322162 185381.48689839244))",0017991,0017991,22A
3,Alliance for Coney Island,WEST 12 STREET,Brooklyn,SURF AVENUE,DEAD END,sat,approvedFull,,,,,,,,,,,12:00,06:00,,06/17/2023,,09/09/2023,279.146182738,"MULTILINESTRING ((989906.3928747177 148960.65225988626, 989905.0900558084 148681.5091173947))",0018473,0018473,22A
4,Hebrew Language Academy 2,82 STREET,Brooklyn,STILLWELL AVENUE,24 AVENUE,"mon,tue,wed,thu,fri",approvedFullSchools,08:30,15:30,08:30,15:30,08:30,15:30,08:30,15:30,08:30,15:30,,,,09/05/2023,,06/28/2024,340.382923174,"MULTILINESTRING ((987853.0931755602 158431.62708431482, 988121.1241355538 158221.81779263914))",0019065,0019065,22A
5,PS 230,ALBEMARLE ROAD,Brooklyn,MCDONALD AVENUE,DAHILL ROAD,"mon,tue,wed,thu,fri",approvedFullSchools,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,08:00,15:00,,,,09/05/2023,,06/28/2024,290.29187904,"MULTILINESTRING ((989546.2328338921 174264.3506681472, 989833.2860655487 174307.59205147624))",0021487,0021487,22A
6,Red Hook Initiative,WEST 9 STREET,Brooklyn,HENRY STREET,HICKS STREET,"mon,tue,wed,thu,fri,sat,sun",approvedFull,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,20:00,08:00,01/01/2023,20:00,12/31/2023,463.967848632,"MULTILINESTRING ((982928.5623422265 185819.9899583906, 983364.1487413943 185660.20681339502))",0021720,0021720,22A
7,Living Traditions Inc.,COLUMBIA STREET,Brooklyn,WOODHULL STREET,HAMILTON AVENUE,sat,approvedFull,,,,,,,,,,,11:00,22:00,,06/03/2023,,07/15/2023,216.27400544,"MULTILINESTRING ((983057.0036863834 187640.88526672125, 982982.7551472187 187437.755751729))",0021936,0021936,22A
8,Mary McDowell Friends School,SUMMIT STREET,Brooklyn,HENRY STREET,HICKS STREET,"mon,tue,wed,thu,fri",approvedFullSchools,12:30,14:30,12:30,14:30,12:30,02:30,12:30,02:30,12:30,02:30,,,,01/31/2023,,06/30/2024,459.637057391,"MULTILINESTRING ((983625.3326022178 187708.5130842328, 984057.4708455503 187551.91562838852))",0021961,0021961,22A
9,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,6 STREET,8 STREET,sat,approvedFull,,,,,,,,,,,17:00,22:00,,05/06/2023,,10/28/2023,259.909320987,"MULTILINESTRING ((988329.4439288825 183516.14974981546, 988190.4514247179 183296.52748563886))",0022751,0022751,22A
10,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,6 STREET,8 STREET,sat,approvedFull,,,,,,,,,,,17:00,22:00,,05/06/2023,,10/28/2023,260.76082456,"MULTILINESTRING ((988469.3124155551 183736.22476898134, 988329.4439288825 183516.14974981546))",0022753,0022753,22A
11,Park Slope Fifth Avenue BID,4 STREET,Brooklyn,DEAD END,5 AVENUE,"mon,tue,wed,thu,fri,sat,sun",approvedFull,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,22:00,08:00,01/25/2023,22:00,12/31/2023,413.915290676,"MULTILINESTRING ((988394.6078405529 184391.05252756178, 988747.6419113874 184174.96732981503))",0022763,0022763,22A
12,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,PRESIDENT STREET,5 STREET,sat,approvedFull,,,,,,,,,,,10:00,23:00,,05/06/2023,,10/28/2023,259.921761833,"MULTILINESTRING ((988747.6419113874 184174.96732981503, 988608.3213238865 183955.538306728))",0022764,0022764,22A
13,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,PRESIDENT STREET,5 STREET,sat,approvedFull,,,,,,,,,,,10:00,23:00,,05/06/2023,,10/28/2023,260.308346001,"MULTILINESTRING ((988887.4775897264 184394.52693006396, 988747.6419113874 184174.96732981503))",0022766,0022766,22A
14,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,PRESIDENT STREET,5 STREET,sat,approvedFull,,,,,,,,,,,10:00,23:00,,05/06/2023,,10/28/2023,259.904573072,"MULTILINESTRING ((989026.3782305568 184614.20168755949, 988887.4775897264 184394.52693006396))",0022875,0022875,22A
15,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,PRESIDENT STREET,5 STREET,sat,approvedFull,,,,,,,,,,,10:00,23:00,,05/06/2023,,10/28/2023,259.939432487,"MULTILINESTRING ((989166.2007855475 184833.33215481043, 989026.3782305568 184614.20168755949))",0022877,0022877,22A
16,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,PRESIDENT STREET,5 STREET,sat,approvedFull,,,,,,,,,,,10:00,23:00,,05/06/2023,,10/28/2023,259.720732823,"MULTILINESTRING ((989305.4160583019 185052.58991838992, 989166.2007855475 184833.33215481043))",0022885,0022885,22A
17,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,PRESIDENT STREET,5 STREET,sat,approvedFull,,,,,,,,,,,10:00,23:00,,05/06/2023,,10/28/2023,233.971093977,"MULTILINESTRING ((989429.8321480602 185250.73912839592, 989305.4160583019 185052.58991838992))",0022887,0022887,22A
18,Park Slope Fifth Avenue Business Improvement District,5 AVENUE,Brooklyn,PRESIDENT STREET,5 STREET,sat,approvedFull,,,,,,,,,,,10:00,23:00,,05/06/2023,,10/28/2023,260.449861205,"MULTILINESTRING ((989551.0326930583 185481.27016338706, 989429.8321480602 185250.73912839592))",0022889,0022889,22A
19,Park Slope Fifth Avenue BID,5 AVENUE,Brooklyn,STERLING PLACE,UNION STREET,sat,approvedFull,,,,,,,,,,,11:00,22:00,,05/06/2023,,10/28/2023,260.568001114,"MULTILINESTRING ((989788.7389105558 185944.22560231388, 989669.9760247171 185712.296604231))",0022893,0022893,22A
20,Park Slope Fifth Avenue BID,5 AVENUE,Brooklyn,STERLING PLACE,UNION STREET,sat,approvedFull,,,,,,,,,,,11:00,22:00,,05/06/2023,,10/28/2023,259.473950473,"MULTILINESTRING ((989908.9584863931 186174.16904005408, 989788.7389105558 185944.22560231388))",0022901,0022901,22A
21,Stone Street Community Association,STONE STREET,Manhattan,HANOVER SQUARE,COENTIES ALLEY,"mon,tue,wed,thu,fri,sat,sun",approvedFull,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,03/15/2023,23:00,12/31/2023,231.939683168,"MULTILINESTRING ((981281.5121586323 195814.1035003066, 981296.0954627991 195821.9647050649, 981310.4274551421 195830.27505590022, 981324.4943561405 195839.02667881548, 981338.2827143818 195848.21104364097, 981351.7790784687 195857.819292143, 981364.9703250527 195867.84223797917, 981377.8439869732 195878.27003864944, 981390.3872689754 195889.0928516388, 981402.5886881351 195900.29985022545, 981414.4357773066 195911.88086381555, 981425.9173816442 195923.8240813911, 981437.0223463029 195936.11834813654, 981447.7401726395 195948.75152496994, 981458.0603619665 195961.71147280931))",0023140,0023140,22A
22,Stone Street Community Association,STONE STREET,Manhattan,HANOVER SQUARE,COENTIES ALLEY,"mon,tue,wed,thu,fri,sat,sun",approvedFull,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,23:00,10:00,03/15/2023,23:00,12/31/2023,122.538611454,"MULTILINESTRING ((981458.0603619665 195961.71147280931, 981547.7055238932 196045.25461280346))",0023141,0023141,22A
23,Peck Slip School,PECK SLIP,Manhattan,WATER STREET,PEARL STREET,"mon,tue,wed,thu,fri",approvedFullSchools,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,07:30,16:00,,,,01/31/2023,,06/30/2024,267.377222317,"MULTILINESTRING ((983556.1857588887 197528.0764503032, 983723.3750570565 197319.41807498038))",0023483,0023483,22A
24,Willowtown Assocation,JORALEMON STREET,Brooklyn,FURMAN STREET,HICKS STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:30,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,04/17/2023,21:00,10/30/2023,254.144307156,"MULTILINESTRING ((984913.1088980585 191973.7502886504, 985160.3951488882 191915.10867364705))",0023659,0023659,22A
25,Willowtown Assocation,JORALEMON STREET,Brooklyn,FURMAN STREET,HICKS STREET,"mon,tue,wed,thu,fri,sat,sun",approvedLimited,08:30,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,21:00,08:00,04/17/2023,21:00,10/30/2023,200.370233374,"MULTILINESTRING ((984718.0403905511 192019.5379267335, 984913.1088980585 191973.7502886504))",0023676,0023676,22A
26,MONTAGUE ST BUSINESS IMPROVEMENT DISTRICT,MONTAGUE STREET,Brooklyn,CLINTON STREET,PIERREPONT PLACE,sat,approvedFull,,,,,,,,,,,11:30,18:30,,06/03/2023,,10/28/2023,451.029708561,"MULTILINESTRING ((984975.6054922193 192718.32589922845, 985399.44650805 192564.09687697887))",0023685,0023685,22A
27,Chinatown BID,PELL STREET,Manhattan,MOTT STREET,BOWERY,"sat,sun",approvedFull,,,,,,,,,,,09:00,23:59,09:00,04/01/2023,21:00,12/31/2023,238.629383081,"MULTILINESTRING ((984794.6511297226 199706.37918031216, 984564.2021155506 199768.32459448278))",0023787,0023787,22A
